Adana#01#Akdeniz#Taskopru, Seyhan Baraji, Adana Merkez Park, Varda Koprusu, Anavarza Antik Kenti
Adiyaman#02#Guneydogu Anadolu#Nemrut Dagi Milli Parki, Karakus Tumulusu, Arsemia Antik Kenti, Cendere Koprusu, Perre Antik Sehri
Afyonkarahisar#03#Ege#Afyon Kalesi, Frig Vadisi, Gazligol Termal Kaplicalari, Ayazini Kasabasi, Afyonkarahisar Arkeoloji Muzesi
Agri#04#Dogu Anadolu#Agri Dagi, Ishak Pasa Sarayi, Dogubayazit Kalesi, Meteor Cukuru, Balik Golu
Amasya#05#Karadeniz#Kral Kaya Mezarlari, Yaliboyu Evleri, Amasya Kalesi, Boraboy Golu, Hazeranlar Konagi
Ankara#06#Ic Anadolu#Anitkabir, Ankara Kalesi, Kocatepe Camii, Ataturk Orman Ciftligi, Genclik Parki
Antalya#07#Akdeniz#Kaleici, Aspendos Antik Tiyatrosu, Konyaalti Plaji, Duden Selalesi, Olympos Antik Kenti
Artvin#08#Karadeniz#Karagol-Sahara Milli Parki, Macahel Yaylasi, Deriner Baraji, Savsat Yaylalari, Borcka Karagol
Aydin#09#Ege#Didim Apollon Tapinagi, Priene Antik Kenti, Kusadasi Plajlari, Milet Antik Kenti, Bafa Golu
Balikesir#10#Marmara#Kazdaglari Milli Parki, Ayvalik Cunda Adasi, Gomec Sahili, Manyas Kus Cenneti, Seytan Sofrasi
Bilecik#11#Marmara#Sogut Ertugrul Gazi Turbesi, Bilecik Müzesi, Inhisar Magaralari, Harmankaya Kanyonu, Osmaneli Tarihi Evleri
Bingol#12#Dogu Anadolu#Yuzer Adalar, Kigi Kalesi, Bingol Kaplicalari, Cir Ciri Selalesi, Hesarek Kayak Merkezi
Bitlis#13#Dogu Anadolu#Nemrut Krater Golu, Bitlis Kalesi, Ahlat Selcuklu Mezarliklari, Ihlasiye Medresesi, El-Aman Hanı
Bolu#14#Karadeniz#Abant Golu, Yedigoller Milli Parki, Goynuk Tarihi Evleri, Kartalkaya Kayak Merkezi, Seben Kaya Evleri
Burdur#15#Akdeniz#Salda Golu, Insuyu Magarasi, Sagalassos Antik Kenti, Burdur Arkeoloji Muzesi, Kibyra Antik Kenti
Bursa#16#Marmara#Uludag, Cumalikizik Koyu, Yesil Turbe, Bursa Ulu Camii, Muradiye Kulliyesi
Canakkale#17#Marmara#Truva Antik Kenti, Gelibolu Yarimadasi, Assos Antik Kenti, Kilitbahir Kalesi, Bozcaada
Cankiri#18#Ic Anadolu#Cankiri Tuz Magarasi, Ilgaz Dagi Milli Parki, Cankiri Kalesi, Tatlidede Camii, Bugday Pazari Medresesi
Corum#19#Karadeniz#Hattusas Antik Kenti, Alacahoyuk, Corum Saat Kulesi, Yazilikaya Acik Hava Tapinagi, Corum Müzesi
Denizli#20#Ege#Pamukkale Travertenleri, Hierapolis Antik Kenti, Karahayit Kaplicalari, Laodikeia Antik Kenti, Honaz Dagi Milli Parki
Diyarbakir#21#Guneydogu Anadolu#Diyarbakir Surlari, Hevsel Bahceleri, Ulu Camii, Ongozlu Kopru, Hasan Pasa Hani
Edirne#22#Marmara#Selimiye Camii, Meric Koprusu, Edirne Sarayi, Karaağaç Tren Gari, Lozan Aniti
Elazig#23#Dogu Anadolu#Harput Kalesi, Keban Baraji, Buzluk Magarasi, Hazar Golu, Cip Kaplicalari
Erzincan#24#Dogu Anadolu#Kemaliye Tas Yolu, Girlevik Selalesi, Erzincan Ekşisu, Munzur Dagi Milli Parki, Altin Tepe
